Titulo,Plataforma,Fecha,Descripcion
Crimson Shroud,Nintendo 3DS,"December 13, 2012",LEVEL-5 and Yasumi Matsuno have brought together the industry's most venerated creators in the world of RPGs to...
Inazuma Eleven,Nintendo 3DS,"January 29, 2011",Inazuma Eleven is a role-playing sports video game for the Nintendo DS developed and published by Level-5. It was...
Inazuma Eleven Go Galaxy: Supernova,Nintendo 3DS,"December 5, 2013",Inazuma Eleven GO Galaxy is the third game of the Inazuma Eleven GO series and the sixth installment of the Inazuma...
Inazuma Eleven Strikers 2012 Xtreme,Nintendo Wii,"December 22, 2011","Inazuma Eleven Strikers 2012 Xtreme (イナズマイレブン ストライカーズ 2012 エクストリーム, Inazuma Irebun Strikers 2012 Ekusutorīmu) is a..."
Layton’s Mystery Journey,Android,"July 20, 2017",Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy is a puzzle video game developed by Level-5...
Ni no Kuni: Shikkoku no Madoushi,Nintendo DS,"December 9, 2010","Ni no Kuni is a series of role-playing games developed by Level-5. The series chiefly follows the young Oliver, and..."
Time Travelers,Sony PSP,"July 19, 2012","Time Travelers is a video game ""without a genre"" developed by Level-5 for the Nintendo 3DS, PlayStation Vita, and..."
Yo-kai Watch Dance: Just Dance Special Version,Nintendo Wii U,"December 5, 2015",Yo-kai Watch Dance: Just Dance Special Version is a 2015 dance video game developed by Level-5 and Ubisoft for the...
Youkai Watch Busters 2: Hihou Densetsu Banbarayaa: Sword,Nintendo 3DS,"December 16, 2017",Embark on an exciting adventure with the Level 5 Yokai Watch Busters 2: Hihou Densetsu Banbaraya Sword for Nintendo...
Attack of the Friday Monsters! A Tokyo Tale,Nintendo 3DS,"July 18, 2013","Step into the life of Sohta, the young son of a family that has just set up a dry cleaners shop in the idyllic town..."
Bugs vs Tanks!,Nintendo 3DS,"June 20, 2013","From Keiji Inafune, creator of the MEGA MAN series and many other hit titles, BUGS vs. TANKS! is a new take on the..."
Danball Senki,Sony PSP,"June 16, 2011","Danball Senki is a Role-Playing game, developed and published by Level 5, which was released in Japan in 2011"
Danball Senki Boost,Sony PSP,"November 23, 2011","Danball Senki Boost is a Role-Playing game, developed and published by Level 5, which was released in Japan in..."
Danball Senki W,Sony PSP,"October 18, 2012",
Danball Senki W,Sony Playstation Vita,"October 18, 2012","Danball Senki W (ダンボール戦機W Danbooru Senki Daburu) is the second installment of the Danball Senki series of games, a..."
Fantasy Life,Nintendo 3DS,"October 29, 2014","Fantasy Life is an original RPG for the Nintendo 3DS from Level-5, featuring music by Nobuo Uematsu and image..."
Inazuma Eleven 3: Sekai e no Chousen!!: Bomber,Nintendo DS,"July 1, 2010",Inazuma Eleven 3: Sekai e no Chousen!! is the third installment of the Inazuma Eleven games for the Nintendo DS....
Inazuma Eleven 3: Sekai e no Chousen!! Spark,Nintendo DS,"July 1, 2010",Coach Hibiki gathers Japan's greatest football players from all over Japan (many of these players are featured in...
Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,Nintendo DS,"December 16, 2010",Coach Hibiki gathers Japan's greatest football players from all over Japan (many of these players are featured in...
Layton Brothers: Mystery Room,Android,"September 5, 2013",Layton Brothers: Mystery Room (レイトンブラザーズ・ミステリールーム Reiton Burazāzu Misuterī Rūmu?)[7][8] is a puzzle adventure video...
Layton Brothers: Mystery Room,Apple iOS,"September 21, 2012","Layton Brothers: Mystery Room is a puzzle adventure video game for iOS and Android, published by Level-5. It is a..."
Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy,Nintendo 3DS,"October 6, 2017","Join Katrielle Layton, our new hero, as she becomes embroiled in a casual, quizzical quest, which has its roots in..."
Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy Deluxe Edition,Nintendo Switch,"November 8, 2019","Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy is revamped as ""Deluxe Edition"" with multiple..."
Level 5 Premium: Platinum,Nintendo DS,2009,"Trial version software (Layton, Ni no Kuni & Inazuma Eleven 2) distributed free of charge at the Tokyo Game Show..."
Level 5 Premium: Silver,Nintendo DS,2007,"Limited Edition DS cartridge, which featured the Tokyo Game Show 2007 demo of upcoming soccer RPG Inazuma Eleven...."
Liberation Maiden,Nintendo 3DS,"October 4, 2012","LEVEL-5 and Grasshopper Manufacture’s SUDA51 team up to bring you LIBERATION MAIDEN, a full-scale 3D shooter game..."
Megaton Musashi,Nintendo Switch,"November 11, 2021",Megaton Musashi (メガトン級ムサシ) is a robot action/RPG that follows a group of kids who pilot giant robots to save the...
Megaton Musashi W: Wired,Nintendo Switch,"April 25, 2024","Customize the parts and weapons of giant robot Rogues

to take back the Earth from alien invaders in this..."
Megaton Musashi W: Wired,Windows,"April 24, 2024","Launch a counteroffensive to take back the Earth from alien invaders in this mecha action RPG.

Customize the..."
Ni no Kuni II: Revenant Kingdom,Sony Playstation 4,"March 23, 2018","Welcome to the beautiful world of Ni no Kuni!

After being overthrown in a coup, the young king Evan sets out on..."
Ni no Kuni II: Revenant Kingdom,Windows,"March 23, 2018","Join the young king Evan as he sets out on an epic quest to found a new kingdom and, with the help of some new..."
Ni no Kuni: Wrath of the White Witch,Nintendo Switch,"September 20, 2019",Journey back to the other world in Ni no Kuni: Wrath of the White Witch. LEVEL-5’s classic tale comes to Nintendo...
Ni no Kuni: Wrath of the White Witch,Sony Playstation 3,"January 22, 2013","A heart-warming tale of a young boy named Oliver, who embarks on a journey into a parallel world in an attempt to..."
Ni no Kuni: Wrath of the White Witch Remastered,Windows,"September 19, 2019",Journey back to the other world in Ni no Kuni: Wrath of the White Witch™ Remastered. LEVEL-5’s classic tale returns...
Professor Layton and the Azran Legacy,Nintendo 3DS,"February 28, 2014",Journey across the globe aboard the airship Bostonius while solving mind-bending brainteasers themed to their...
Rogue Galaxy,Sony Playstation 4,"April 12, 2015","The game follows the adventures of Jaster Rogue, a young agricultural worker living on an isolated planet, who..."
Sloane to MacHale no Nazo no Story,Nintendo DS,"May 21, 2009","Sloane to MacHale no Nazo no Story is a Puzzle game, developed and published by Level 5, which was released in..."
Sloane to MacHale no Nazo no Story 2,Nintendo DS,"December 3, 2009","Sloane to MacHale no Nazo no Story 2 is a Puzzle game, developed and published by Level 5, which was released in..."
Snack World: The Dungeon Crawl: Gold,Nintendo Switch,"April 12, 2018","Let the dungeon crawl...begin! After your village is invaded, become a heroic adventurer and seek revenge against..."
Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,Nintendo DS,"June 18, 2009","Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou is a Miscellaneous game, developed and..."
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,Nintendo DS,"June 18, 2009","Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure is a Puzzle game, developed and published..."
Tago Akira no Atama no Taisou Dai-3-Shuu: Fushigi no Kuni no Nazotoki Otogibanashi,Nintendo DS,"October 8, 2009","Tago Akira no Atama no Taisou Dai-3-Shuu: Fushigi no Kuni no Nazotoki Otogibanashi is an puzzle game, developed and..."
Tago Akira no Atama no Taisou Dai-4-Shuu: Time Machine no Nazotoki Daibouken,Nintendo DS,"October 8, 2009","Tago Akira no Atama no Taisou Dai-4-Shuu: Time Machine no Nazotoki Daibouken is an puzzle game, developed and..."
The Starship Damrey,Nintendo 3DS,"May 16, 2013",Seek the inconcievable truth of the Starship Damrey and discover why nothing is more frightening than complete...
Time Travelers,Nintendo 3DS,"July 12, 2012","In 2013, a mysterious hole, called ""Lost Hole"", emerged from the sky, and along with it, came an enormous explosion..."
Time Travelers,Sony Playstation Vita,"July 12, 2012","Re-do that moment. Change fate. Live on. Playing Cinema.
This is a time travelling mega title by Jiro Ishii, who..."
Weapon Shop De Omasse,Nintendo 3DS,"February 20, 2014","In Weapon Shop de Omasse the player takes on the role of Yuhan, a young apprentice at a shop that specializes at..."
White Knight Chronicles II,Sony Playstation 3,"September 13, 2011","White Knight Chronicles II, the sequel to White Knight Chronicles: International Edition, is an epic role-playing..."
White Knight Chronicles: International Edition,Sony Playstation 3,"February 2, 2010",White Knight Chronicles: International Edition is a Japanese RPG which allows players to explore an expansive and...
